data_source,outcome_clean,transform_label,control_label,model,percent_effect,effect_pct,power,mean_att,mean_se,n_sims
NIBRS,agg_18,Raw,Econ+Crime,cs,1.1,10,0.46,6.32082802378033,7.31605842105445,200
NIBRS,agg_18,Raw,Econ+Crime,imputation,1.1,10,0,-1.48040560099953,17.8771364369891,200
NIBRS,agg_18,Raw,Econ+Crime,cs,1.2,20,0.495,12.0868331742469,8.08032073063734,200
NIBRS,agg_18,Raw,Econ+Crime,imputation,1.2,20,0,3.5427698886323,18.2148065806067,200
NIBRS,agg_18,Raw,Econ+Crime,cs,1.3,30,0.5,17.6222108581989,9.03833151968025,200
NIBRS,agg_18,Raw,Econ+Crime,imputation,1.3,30,0,8.2782236830131,18.5612348790115,200
NIBRS,agg_18,Raw,Econ+Crime,cs,1.4,40,0.5,23.7287270591923,10.3703476676905,200
NIBRS,agg_18,Raw,Econ+Crime,imputation,1.4,40,0.275,13.7452079084832,18.9745384585105,200
NIBRS,agg_18,Raw,Econ+Crime,cs,1.5,50,0.53,28.7497084891044,11.5796489494185,200
NIBRS,agg_18,Raw,Econ+Crime,imputation,1.5,50,0.5,18.3578330866185,19.3900387405019,200
NIBRS,agg_18,IHS,Econ+Crime,cs,0.5,-50,0.09,0.665682844983224,6.64919107160192,200
NIBRS,agg_18,IHS,Econ+Crime,imputation,0.5,-50,0,-Inf,17.7222180774652,200
NIBRS,agg_18,IHS,Econ+Crime,cs,0.6,-40,0.105,0.457799449860396,6.70586824585348,200
NIBRS,agg_18,IHS,Econ+Crime,imputation,0.6,-40,0,-Inf,17.740107712991,200
NIBRS,agg_18,IHS,Econ+Crime,cs,0.7,-30,0.155,0.510119002649378,6.74748599478629,200
NIBRS,agg_18,IHS,Econ+Crime,imputation,0.7,-30,0,-Inf,17.7475843766863,200
NIBRS,agg_18,IHS,Econ+Crime,cs,0.8,-20,0.12,0.708763111360587,6.77295087267057,200
NIBRS,agg_18,IHS,Econ+Crime,imputation,0.8,-20,0,-Inf,17.7529686139095,200
