transform_label,control_label,model,effect_pct,mean_power,mean_se,n_outcomes
Raw,Econ+Crime+DV,imputation,-30,0.432142857142857,26.0893441021028,7
Raw,Econ+Crime+DV,cs,-20,0.744285714285714,6.8098466660437,7
Raw,Econ+Crime+DV,imputation,-20,0.428571428571429,26.770375027677,7
Raw,Econ+Crime+DV,cs,-10,0.547857142857143,6.1353940868982,7
Raw,Econ+Crime+DV,imputation,-10,0.399285714285714,27.5770052953453,7
Raw,Econ+Crime+DV,cs,0,0.121428571428571,6.2814360627926,7
Raw,Econ+Crime+DV,imputation,0,0.282857142857143,28.507173638086,7
Raw,Econ+Crime+DV,cs,10,0.518571428571429,7.51396507687916,7
Raw,Econ+Crime+DV,imputation,10,0.405,29.4775059203971,7
Raw,Econ+Crime+DV,cs,20,0.751428571428571,9.38864468158654,7
Raw,Econ+Crime+DV,imputation,20,0.569285714285714,30.6214473180864,7
Raw,Econ+Crime+DV,cs,30,0.825,11.4502468342791,7
Raw,Econ+Crime+DV,imputation,30,0.660714285714286,31.7668275307811,7
Raw,Econ+Crime+DV,cs,40,0.861428571428571,13.9357681012523,7
Raw,Econ+Crime+DV,imputation,40,0.73,33.009477343608,7
Raw,Econ+Crime+DV,cs,50,0.876428571428571,16.442457553235,7
Raw,Econ+Crime+DV,imputation,50,0.779285714285714,34.364056886508,7
IHS,Econ+Crime+DV,cs,-50,0.693571428571429,6.90436539293137,7
IHS,Econ+Crime+DV,imputation,-50,,,7
IHS,Econ+Crime+DV,cs,-40,0.559285714285714,6.77706178717965,7
IHS,Econ+Crime+DV,imputation,-40,,,7
IHS,Econ+Crime+DV,cs,-30,0.487857142857143,6.87806800368784,7
IHS,Econ+Crime+DV,imputation,-30,,,7
IHS,Econ+Crime+DV,cs,-20,0.440714285714286,6.76971837557711,7
IHS,Econ+Crime+DV,imputation,-20,,,7
IHS,Econ+Crime+DV,cs,-10,0.242857142857143,6.96794901872416,7
IHS,Econ+Crime+DV,imputation,-10,,,7
IHS,Econ+Crime+DV,cs,0,0.167857142857143,6.68115929589457,7
IHS,Econ+Crime+DV,imputation,0,,,7
IHS,Econ+Crime+DV,cs,10,0.327857142857143,6.77079956068982,7
IHS,Econ+Crime+DV,imputation,10,,,7
IHS,Econ+Crime+DV,cs,20,0.503571428571429,6.67576553122635,7
IHS,Econ+Crime+DV,imputation,20,,,7
IHS,Econ+Crime+DV,cs,30,0.613571428571429,7.00295847083048,7
IHS,Econ+Crime+DV,imputation,30,,,7
IHS,Econ+Crime+DV,cs,40,0.687857142857143,6.78550414339412,7
IHS,Econ+Crime+DV,imputation,40,,,7
IHS,Econ+Crime+DV,cs,50,0.688571428571429,6.89185818804075,7
IHS,Econ+Crime+DV,imputation,50,,,7
